ID,File,Line,Context
0,Build/Cache/DepTokenizer.zig,302,"} |     unreachable; | }"
1,Build/Cache/DepTokenizer.zig,427,"}, |             else => unreachable, |         }"
2,Build/Cache/DepTokenizer.zig,433,"switch (self) { |             .target, .target_must_resolve, .prereq, .prereq_must_resolve => unreachable, // not an error |             .incomplete_quoted_prerequisite,"
3,Build/Cache/DepTokenizer.zig,462,"return switch (self) { |             .target, .target_must_resolve, .prereq, .prereq_must_resolve => unreachable, // not an error |             .incomplete_quoted_prerequisite => ""incomplete quoted pr..."
4,Build/Cache.zig,293,".{fmt.fmtSliceHexLower(&bin_digest)}, |     ) catch unreachable; |     return out_digest;"
5,Build/Fuzz/WebServer.zig,204,".cpu_features = fuzzer_cpu_features, |         }) catch unreachable) catch unreachable, |         .output_mode = .Exe,"
6,Build/Fuzz/WebServer.zig,204,".cpu_features = fuzzer_cpu_features, |         }) catch unreachable) catch unreachable, |         .output_mode = .Exe,"
7,Build/Fuzz/WebServer.zig,286,"} |         const header = stdout.reader().readStruct(Header) catch unreachable; |         while (stdout.readableLength() < header.bytes_len) {"
8,Build/Step/CheckObject.zig,596,".wasm => try WasmDumper.parseAndDump(step, chk, contents), |             else => unreachable, |         };"
9,Build/Step/CheckObject.zig,712,"|                 .compute_cmp => unreachable, |             }"
10,Build/Step/CheckObject.zig,1159,"break :blk ""flat lookup""; |                             unreachable; |                         }"
11,Build/Step/CheckObject.zig,1286,"}, |                             else => unreachable, |                         }"
12,Build/Step/CheckObject.zig,1380,"0xe => tag = .flat, |                             else => unreachable, |                         }"
13,Build/Step/CheckObject.zig,1420,"}, |                             else => unreachable, |                         }"
14,Build/Step/CheckObject.zig,1597,"macho.EXPORT_SYMBOL_FLAGS_KIND_THREAD_LOCAL => .tlv, |                                     else => unreachable, |                                 },"
15,Build/Step/CheckObject.zig,1694,"|                     else => unreachable, |                 }"
16,Build/Step/CheckObject.zig,1796,"else |                 unreachable; |"
17,Build/Step/CheckObject.zig,1951,"}, |                     else => unreachable, |                 }"
18,Build/Step/CheckObject.zig,2661,"}, |             else => unreachable, |         }"
19,Build/Step/CheckObject.zig,2695,".global_get => try writer.print(""global.get {x}\n"", .{try std.leb.readUleb128(u32, reader)}), |             else => unreachable, |         }"
20,Build/Step/Compile.zig,1204,"}, |                                             .no => unreachable, |                                         },"
21,Build/Step/ConfigHeader.zig,210,".autoconf_at => try render_autoconf_at(step, contents, &output, config_header.values, src_path), |                 else => unreachable, |             }"
22,Build/Step/Run.zig,642,"} |                 unreachable; // two keys cannot be equal |             }"
23,Build/Step/Run.zig,763,".output_directory => output_sub_path, |                 else => unreachable, |             };"
24,Build/Step/Run.zig,792,".output_directory => output_sub_path, |             else => unreachable, |         };"
25,Build/Step/Run.zig,897,"}, |             .output_file, .output_directory => unreachable, |         }"
26,Build/Step/Run.zig,1468,"} |         const header = stdout.reader().readStruct(Header) catch unreachable; |         while (stdout.readableLength() < header.bytes_len) {"
27,Build/Step/Run.zig,1540,"else |                         unreachable; |                     if (msg.len > 0) {"
28,Build/Step.zig,500,"} |         const header = stdout.reader().readStruct(Header) catch unreachable; |         while (stdout.readableLength() < header.bytes_len) {"
29,Build/Step.zig,618,".compile => s.cast(Compile).?.zig_process = zp, |         else => unreachable, |     }"
30,Build/Step.zig,632,"}, |         else => unreachable, |     }"
31,Build/Step.zig,761,"error.CacheCheckFailed => switch (man.diagnostic) { |             .none => unreachable, |             .manifest_create, .manifest_read, .manifest_lock, .manifest_seek => |e| return s.fail(""failed to c..."
32,Build/Watch.zig,379,".ACCESS_DENIED => return error.AccessDenied, |                     .INVALID_PARAMETER => unreachable, |                     else => |rc| return windows.unexpectedStatus(rc),"
33,Build.zig,2216,"|     unreachable; // Bad @dependencies source | }"
34,Build.zig,2234,"|     unreachable; // Bad @dependencies source | }"
35,Build.zig,2269,"|     comptime unreachable; // Bad @dependencies source | }"
36,Progress.zig,399,"debug_start_trace.dump(); |         unreachable; |     }"
37,Progress.zig,456,"if (switch (global_progress.terminal_mode) { |                 .off => unreachable, // handled a few lines above |                 .ansi_escape_codes => std.Thread.spawn(.{}, updateThreadRun, .{}),"
38,Progress.zig,458,".ansi_escape_codes => std.Thread.spawn(.{}, updateThreadRun, .{}), |                 .windows_api => if (is_windows) std.Thread.spawn(.{}, windowsApiUpdateThreadRun, .{}) else unreachable, |          ..."
39,Progress.zig,681,"switch (global_progress.terminal_mode) { |         .off => unreachable, |         .ansi_escape_codes => {"
40,Progress.zig,688,".windows_api => |windows_api| { |             const bytes = if (!is_windows) unreachable else switch (windows_api.code_page) { |                 // Code page 437 is the default code page and contains ..."
41,Progress.zig,840,"parent.* = switch (parent.*) { |             .unused => unreachable, |             .none => .none,"
42,Progress.zig,1137,"switch (global_progress.terminal_mode) { |         .off => unreachable, |         .ansi_escape_codes => {"
43,Progress.zig,1142,"}, |         .windows_api => if (!is_windows) unreachable, |     }"
44,Random.zig,108,"const UnsignedT = std.meta.Int(.unsigned, bits); |     const ceil_bytes = comptime std.math.divCeil(u16, bits, 8) catch unreachable; |     const ByteAlignedT = std.meta.Int(.unsigned, ceil_bytes * 8);"
45,Random.zig,414,"if (point < accumulator) return index; |     } else unreachable; | }"
46,SemanticVersion.zig,62,"error.InvalidCharacter => null, |             error.Overflow => unreachable, |         };"
47,SemanticVersion.zig,66,"error.InvalidCharacter => null, |             error.Overflow => unreachable, |         };"
48,Target/Query.zig,283,"'-' => sub_set, |                 else => unreachable, |             };"
49,Target.zig,1691,".@""inline"", |                 => unreachable, |"
50,Target.zig,2395,".riscv64 => ""riscv64-lp64"", |                             else => unreachable, |                         },"
51,Target.zig,2563,"=> none, |         } catch unreachable; |     }"
52,Target.zig,2747,"128 => 16, |             else => unreachable, |         },"
53,Target.zig,3160,".avr, |             => unreachable, // Handled above. |         }),"
54,Target.zig,3256,".avr, |             => unreachable, // Handled above. |         }),"
55,Thread/Condition.zig,73,"self.impl.wait(mutex, null) catch |err| switch (err) { |         error.Timeout => unreachable, // no timeout provided so we shouldn't have timed-out |     };"
56,Thread/Condition.zig,130,"const timeout_ns = timeout orelse { |             unreachable; // deadlock detected |         };"
57,Thread/Futex.zig,33,"Impl.wait(ptr, expect, null) catch |err| switch (err) { |         error.Timeout => unreachable, // null timeout meant to wait forever |     };"
